Features,Sensitivity,Specificity,MCC,AUC
001010101010,0.6253856638649564,0.6861771814849738,0.30950037648296747,0.6788414814814816
001010101011,0.6140532016302914,0.6865195525864387,0.29920964769284625,0.6745688888888891
001010101100,0.6320684257485418,0.6994322985007425,0.3287914240252605,0.7038162962962963
001010101101,0.647422082682526,0.6894337129861503,0.33293732546890165,0.6996651851851848
001010101110,0.6341661632115936,0.7132882437140275,0.34411284117802604,0.727548148148148
001010101111,0.6264864210485586,0.7073719233109728,0.3321453711434701,0.7234459259259259
001010110000,0.6278493536144529,0.6860371142305419,0.31221291315385785,0.7054903703703702
001010110001,0.6338415708491837,0.6823932292913009,0.3139426174324215,0.703917037037037
001010110010,0.6615948676643478,0.6625855877246406,0.31087950684282945,0.6848044444444443
001010110011,0.6090421278468255,0.6774533828171007,0.2846205952591932,0.6879259259259259
001010110100,0.6976273832979264,0.7274422907923201,0.42134204251168883,0.7560666666666667
001010110101,0.6769223278773124,0.7162041976052125,0.38918222739464325,0.745557037037037
001010110110,0.637895262495332,0.6918370071534242,0.32506564515208713,0.734054814814815
001010110111,0.6513835885027649,0.6968852949314068,0.34425504180963445,0.7435318518518518
001010111000,0.6574340438503584,0.6795962435638099,0.3302581294336129,0.6829125925925925
001010111001,0.6426709448619675,0.6816837318407384,0.31939989542411346,0.6821985185185185
001010111010,0.630048500671384,0.6747353517915267,0.3006270179838203,0.6742237037037038
001010111011,0.6218878977668725,0.6794722861574498,0.29888346295915763,0.677174814814815
001010111100,0.6593324185150504,0.7007929566995302,0.35724770250411453,0.7170933333333334
001010111101,0.6309310202892663,0.6989397055456924,0.3291419231950807,0.7121303703703701
001010111110,0.6506730264553342,0.6883927835767074,0.3343711863008442,0.7130444444444446
001010111111,0.6221943701078699,0.6944772744498441,0.3155916607043333,0.714915555555556
001011000000,0.5707247876128669,0.6391343575948563,0.208623566004493,0.5748029629629628
001011000001,0.5704116245769164,0.653631936647995,0.22393023475349094,0.5948592592592592
001011000010,0.528412776551803,0.6127980529666146,0.14021144554452697,0.5388207407407408
001011000011,0.5489128329735703,0.624245253596324,0.17182258559572536,0.5537481481481479
001011000100,0.6530157365074528,0.7120111773640175,0.3643698849975632,0.6959407407407405
001011000101,0.6372248641848284,0.7034769636453485,0.33952815754123206,0.6890962962962963
001011000110,0.6484100157052177,0.7129307719880903,0.3609745020689191,0.687128888888889
001011000111,0.6204976672183823,0.6855401802578919,0.3050477713895162,0.6739925925925927
001011001000,0.5871919953331878,0.6588228897018333,0.24509912267298303,0.5738844444444444
001011001001,0.5762765630555249,0.6575479392911628,0.23345929463287374,0.576788148148148
001011001010,0.6213810528379003,0.6458629361670312,0.2583162155309612,0.5934503703703705
001011001011,0.5929169760811844,0.6396590849573744,0.228629055986995,0.5857600000000002
001011001100,0.6601134540760221,0.6998208109906369,0.3564121719213805,0.6765866666666668
001011001101,0.6630045367395014,0.7024170702456609,0.3619767381552944,0.666257777777778
001011001110,0.6385747969246794,0.700557056131004,0.3371892502919095,0.6876103703703705
001011001111,0.6675504977171377,0.6961641705975998,0.35728062682752765,0.6856459259259262
001011010000,0.5865917552145992,0.6720573770776274,0.25860718381455094,0.624151111111111
001011010001,0.5859982797356424,0.6551098237602311,0.24039013172544402,0.6143022222222222
001011010010,0.5420568353135122,0.6154775015734321,0.155439256119711,0.5627733333333333
001011010011,0.5548172894062892,0.624006396925269,0.1764431302917928,0.5723525925925926
001011010100,0.677831243890936,0.7178968394565999,0.3932141291592679,0.7170681481481479
001011010101,0.6560160164957247,0.7294801771892984,0.38603494361847596,0.7086370370370371
001011010110,0.632406713454437,0.6963270958284911,0.3275659275091048,0.6943466666666666
001011010111,0.6526559127341675,0.7004085743300158,0.3503859375658039,0.6868977777777779
001011011000,0.6223324181210356,0.6718929545726056,0.29126891455433296,0.6177466666666667
001011011001,0.6279329946430527,0.6737875065724355,0.2988981713752433,0.6139140740740741
001011011010,0.643978287306818,0.6696005233920935,0.306655157277913,0.6148607407407407
001011011011,0.6207993618818735,0.6693396132926657,0.2868826659738811,0.6150725925925927
001011011100,0.6619636478199723,0.6966741191624171,0.35446634443276376,0.6780844444444444
001011011101,0.6751553725826624,0.7014694376885819,0.3710253330644154,0.6678281481481482
001011011110,0.6661671077636953,0.6954874355001922,0.35618175888284836,0.6749807407407407
001011011111,0.6577090160789999,0.6952281141724208,0.34887417779224816,0.6726903703703704
001011100000,0.6599063240555129,0.6978519248193394,0.3538655259953531,0.7035377777777779
001011100001,0.6342462099125915,0.6995519461914871,0.330925655098285,0.7060651851851851
001011100010,0.6436045353085089,0.6925848233905414,0.3331533768040799,0.6893837037037038
001011100011,0.6272488526787935,0.7111903515277089,0.3384800820985294,0.7041540740740744
001011100100,0.6814103342320231,0.7153627439391386,0.39298638875221537,0.7466088888888889
001011100101,0.6697009803792343,0.7312677784469024,0.4006560292009755,0.7509925925925929
001011100110,0.644299337197383,0.7122503035091694,0.35529890260358277,0.7398755555555554
001011100111,0.6429909079758244,0.7245363226698909,0.3644663071913128,0.7462355555555555
001011101000,0.6293496949277223,0.6656188509571297,0.28865788708805024,0.6585718518518517
001011101001,0.6171222304448327,0.677181535519389,0.2927533781634694,0.659128888888889
001011101010,0.6208362054219729,0.6773821116926219,0.2954897243119991,0.6725111111111112
001011101011,0.6166944390453366,0.6938855062512688,0.3094845764581079,0.6765585185185188
001011101100,0.6252762630315388,0.6934720357322458,0.31735213653933025,0.699331851851852
001011101101,0.6430703780117935,0.6912750998307593,0.3309956419014943,0.6955555555555553
001011101110,0.616079115457907,0.7104341571097277,0.32536980127646004,0.7171259259259258
001011101111,0.6185645281825675,0.7087953967156467,0.32689152737860794,0.7210518518518519
001011110000,0.6342145807594717,0.6755410077208187,0.3054314969745941,0.6988977777777778
001011110001,0.65166831005109,0.6787367346755269,0.32404482668074214,0.7029925925925926
001011110010,0.6696604345398383,0.6629803808597454,0.3174401960164715,0.6777066666666666
001011110011,0.6166271738326349,0.6782474006638332,0.2913109638606346,0.6901274074074074
001011110100,0.6896144058803244,0.7098693083708693,0.3930294924356786,0.7453318518518518
001011110101,0.6803345449484784,0.7075195100994073,0.38230610405904164,0.7411466666666666
001011110110,0.6440804624916789,0.6885722160936565,0.32667800243397893,0.7325051851851854
001011110111,0.6606245334483163,0.6923642550600317,0.34781403751964585,0.7407037037037035
001011111000,0.6491751297584878,0.678652952496617,0.32112269120477444,0.675351111111111
001011111001,0.637780230679207,0.6810230568273018,0.3139202367468741,0.6777837037037037
001011111010,0.6263999194401798,0.6703805260413179,0.2927173280750516,0.6673214814814815
001011111011,0.6151015563167689,0.6751719240058209,0.28791871968715294,0.6743881481481482
001011111100,0.6487856799608446,0.6887159775483397,0.3338580883195259,0.7078251851851853
001011111101,0.6339428344978392,0.6940771957844888,0.3264127737842385,0.7067481481481479
001011111110,0.642644279282408,0.6855387232692816,0.32411014304489016,0.7101481481481483
001011111111,0.6301394341077501,0.6940117186412703,0.32135903623822065,0.7115777777777776
001100000000,0.5428823556655731,0.6429750192225672,0.1821741187509247,0.6381985185185186
001100000001,0.5776394985421839,0.6435260911139692,0.22021932690770826,0.6470725925925924
001100000010,0.8073301313355864,0.6380908348483187,0.36252642806964114,0.514785185185185
001100000011,0.552968263404087,0.6286966152483918,0.17926652390126158,0.5777333333333334
001100000100,0.6112211265601777,0.676972458163994,0.28784544790413635,0.6717125925925927
001100000101,0.6150864899341264,0.6543682576446744,0.26473329096803344,0.6695555555555558
001100000110,0.6055745498696162,0.6479446178121714,0.24402465325710682,0.6190992592592592
001100000111,0.6419725028849705,0.6634989899697211,0.29639560290048,0.6387733333333334
001100001000,0.6256500650387725,0.6942151494761741,0.31858400444533796,0.6452562962962962
001100001001,0.6090778876960489,0.7138070638269753,0.32272443702151454,0.6578044444444444
001100001010,0.7944871241828713,0.6541080633759421,0.3833021693344745,0.587914074074074
001100001011,0.7030613305546765,0.6468261980304352,0.31543705414001144,0.5962074074074077
