features,Sen_DD,Sen_std_DD,Sen_CO,Sen_std_CO,Sen_TD,Sen_std_TD,Spe_DD,Spe_std_DD,Spe_CO,Spe_std_CO,Spe_TD,Spe_std_TD,geom_mean,geom_mean_std
"f001000100",0.601600,0.026409,0.475600,0.015121,0.551600,0.025874,0.509400,0.020338,0.527400,0.021708,0.594600,0.015259,0.541501,0.020282
"f001000101",0.748600,0.016734,0.459200,0.018422,0.535600,0.020991,0.571000,0.015000,0.570200,0.018600,0.595400,0.015901,0.573800,0.017499
"f001000110",0.676200,0.021715,0.450200,0.021493,0.600200,0.028460,0.576200,0.015478,0.552200,0.025635,0.595600,0.016268,0.570909,0.020999
"f001000111",0.735800,0.020793,0.489600,0.019795,0.598200,0.026884,0.627000,0.022561,0.557800,0.018899,0.625600,0.021740,0.601056,0.021636
"f001001000",0.507200,0.019395,0.373800,0.016720,0.529200,0.014400,0.475000,0.012845,0.424600,0.016639,0.510600,0.012714,0.466694,0.015272
"f001001001",0.573800,0.015085,0.515200,0.014034,0.459800,0.016910,0.546200,0.022261,0.539400,0.017252,0.464600,0.011526,0.514764,0.015849
"f001001010",0.586800,0.019125,0.326200,0.030521,0.602000,0.014832,0.581600,0.021388,0.382600,0.024150,0.540400,0.011825,0.490090,0.019374
"f001001011",0.632800,0.022364,0.471600,0.021667,0.537200,0.008953,0.529400,0.010082,0.530800,0.014538,0.580600,0.014479,0.544830,0.014477
"f001001100",0.589800,0.020247,0.477600,0.029159,0.554400,0.034708,0.504800,0.018893,0.547000,0.031129,0.574600,0.018353,0.539938,0.024592
"f001001101",0.717200,0.014566,0.469400,0.043745,0.561400,0.020495,0.559600,0.016728,0.599200,0.020769,0.594000,0.022716,0.578916,0.021653
"f001001110",0.641400,0.026834,0.445800,0.010018,0.577200,0.041667,0.540000,0.027055,0.555600,0.031947,0.575200,0.021563,0.552622,0.024356
"f001001111",0.712400,0.022141,0.470000,0.018000,0.599400,0.024200,0.603400,0.022236,0.556200,0.014407,0.613600,0.017408,0.587999,0.019429
"f001010000",0.622600,0.015596,0.403000,0.042953,0.510000,0.011662,0.587200,0.018225,0.437000,0.029816,0.503400,0.021318,0.504713,0.021189
"f001010001",0.666200,0.018099,0.611000,0.018138,0.574200,0.024420,0.659000,0.019416,0.606600,0.017505,0.583000,0.017692,0.615688,0.019077
